,time,location,observation
0,4169.5,trgw-0-33-7,35.8201294
0,4199.5,trgw-0-33-7,35.90175259
0,4230.5,trgw-0-33-7,35.9485624
0,4261.5,trgw-0-33-7,35.84050912
0,4291.5,trgw-0-33-7,35.54424393
0,4322.5,trgw-0-33-7,35.16495107
0,4352.5,trgw-0-33-7,34.90824893
0,4383.5,trgw-0-33-7,34.71220997
0,3652.5,trgw-0-34-10,35.38970068
0,3683.5,trgw-0-34-10,35.19251818
0,3712.5,trgw-0-34-10,35.19097454
0,3743.5,trgw-0-34-10,35.20851333
0,3773.5,trgw-0-34-10,35.26939717
0,3804.5,trgw-0-34-10,35.33773327
0,3834.5,trgw-0-34-10,35.29026436
0,3865.5,trgw-0-34-10,35.26843448
0,3896.5,trgw-0-34-10,35.20149239
0,3926.5,trgw-0-34-10,34.94747383
0,3957.5,trgw-0-34-10,34.74606495
0,3987.5,trgw-0-34-10,34.57524422
0,4018.5,trgw-0-34-10,34.4733645
0,4049.5,trgw-0-34-10,34.54322379
0,4077.5,trgw-0-34-10,34.65105674
0,4108.5,trgw-0-34-10,34.78387976
0,4138.5,trgw-0-34-10,34.8817551
0,4169.5,trgw-0-34-10,35.00236348
0,4199.5,trgw-0-34-10,35.08490349
0,4230.5,trgw-0-34-10,35.07080825
0,4261.5,trgw-0-34-10,34.92734583
0,4291.5,trgw-0-34-10,34.6625868
0,4322.5,trgw-0-34-10,34.40999621
0,4352.5,trgw-0-34-10,34.22588004
0,4383.5,trgw-0-34-10,34.04015031
0,3652.5,trgw-0-9-1,39.72085911
0,3683.5,trgw-0-9-1,39.70613539
0,3712.5,trgw-0-9-1,39.75151931
0,3743.5,trgw-0-9-1,39.84619339
0,3773.5,trgw-0-9-1,39.98200867
0,3804.5,trgw-0-9-1,40.11553879
0,3834.5,trgw-0-9-1,40.21344696
0,3865.5,trgw-0-9-1,40.22620903
0,3896.5,trgw-0-9-1,40.13562669
0,3926.5,trgw-0-9-1,39.91999884
0,3957.5,trgw-0-9-1,39.64368307
0,3987.5,trgw-0-9-1,39.38455685
0,4018.5,trgw-0-9-1,39.1775779
0,4049.5,trgw-0-9-1,39.09199874
0,4077.5,trgw-0-9-1,39.13061103
0,4108.5,trgw-0-9-1,39.24129165
0,4138.5,trgw-0-9-1,39.35667023
0,4169.5,trgw-0-9-1,39.47526083
0,4199.5,trgw-0-9-1,39.55031964
0,4230.5,trgw-0-9-1,39.55039819
0,4261.5,trgw-0-9-1,39.43283029
0,4291.5,trgw-0-9-1,39.21451907
0,4322.5,trgw-0-9-1,38.93656175
0,4352.5,trgw-0-9-1,38.67605992
0,4383.5,trgw-0-9-1,38.43780157
